"","make","model","Price","city08","highway08","cylinders","displ","drive","fuelCost08","fuelType1","ecoFriendly","ghgScore"
"29210","Kia","Sportage FE AWD",26356,21,25,4,2.4,"All-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29211","Kia","Sportage FE AWD",17218,21,25,4,2.4,"All-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29212","Kia","Sportage AWD",23611,20,23,4,2,"All-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29213","Kia","Sportage AWD",61963,20,23,4,2,"All-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29218","Cadillac","XT5",45276,19,27,6,3.6,"Front-Wheel Drive",1850,"Regular Gasoline","It's a monster!",5
"29219","Cadillac","XT5",62809,19,27,6,3.6,"Front-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29220","Cadillac","XT5 AWD",31666,18,26,6,3.6,"All-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29221","Cadillac","XT5 AWD",24368,18,26,6,3.6,"All-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29260","Mitsubishi","Mirage",16871,33,41,3,1.2,"Front-Wheel Drive",1100,"Regular Gasoline","Green Car",8
"29261","Mitsubishi","Mirage",34006,33,41,3,1.2,"Front-Wheel Drive",1100,"Regular Gasoline","Green Car",8
"29262","Mitsubishi","Mirage",66078,37,43,3,1.2,"Front-Wheel Drive",1050,"Regular Gasoline","Green Car",9
"29263","Mitsubishi","Mirage",65940,37,43,3,1.2,"Front-Wheel Drive",1050,"Regular Gasoline","Green Car",9
"29264","Chrysler","Pacifica",25605,18,28,6,3.6,"Front-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29265","Chrysler","Pacifica",40774,18,28,6,3.6,"Front-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29278","Audi","R8",61220,14,22,10,5.2,"All-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29279","Audi","R8",65290,14,22,10,5.2,"All-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29280","Audi","R8 Spyder",67829,14,22,10,5.2,"All-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29281","Audi","R8 Spyder",22929,14,22,10,5.2,"All-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29282","Audi","A4 quattro",67696,24,31,4,2,"All-Wheel Drive",1750,"Premium Gasoline","Kinda Green",6
"29283","Audi","A4 quattro",15034,24,31,4,2,"All-Wheel Drive",1750,"Premium Gasoline","Kinda Green",6
"29284","Audi","A4",43940,25,33,4,2,"Front-Wheel Drive",1700,"Premium Gasoline","Kinda Green",6
"29285","Audi","A4",56087,25,33,4,2,"Front-Wheel Drive",1700,"Premium Gasoline","Kinda Green",6
"29286","Subaru","WRX",37177,20,27,4,2,"All-Wheel Drive",2100,"Premium Gasoline","It's a monster!",5
"29287","Subaru","WRX",66898,20,27,4,2,"All-Wheel Drive",2100,"Premium Gasoline","It's a monster!",5
"29288","Subaru","WRX",34946,18,24,4,2,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29289","Subaru","WRX",44886,18,24,4,2,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29290","Subaru","WRX",40455,17,23,4,2.5,"All-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29291","Subaru","WRX",21040,17,23,4,2.5,"All-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29292","BMW","740i xDrive",44431,19,28,6,3,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29293","BMW","740i xDrive",33981,19,28,6,3,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29294","Acura","RDX FWD",32076,20,28,6,3.5,"Front-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29295","Acura","RDX FWD",42202,20,28,6,3.5,"Front-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29296","Acura","RDX AWD",27480,19,27,6,3.5,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29297","Acura","RDX AWD",51547,19,27,6,3.5,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29304","Jaguar","F-Type R AWD Coupe",67830,15,23,8,5,"All-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29305","Jaguar","F-Type R AWD Coupe",30038,15,23,8,5,"All-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29306","Jaguar","F-Type R AWD Convertible",43034,15,23,8,5,"All-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29307","Jaguar","F-Type R AWD Convertible",42007,15,23,8,5,"All-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29308","Jaguar","F-Type Coupe",26342,20,28,6,3,"Rear-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29309","Jaguar","F-Type Coupe",27991,20,28,6,3,"Rear-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29310","Jaguar","F-Type Convertible",30387,20,28,6,3,"Rear-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29311","Jaguar","F-Type Convertible",24823,20,28,6,3,"Rear-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29312","Jaguar","F-Type S Coupe",18219,19,27,6,3,"Rear-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29313","Jaguar","F-Type S Coupe",45816,19,27,6,3,"Rear-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29314","Jaguar","F-Type S Convertible",55274,19,27,6,3,"Rear-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29315","Jaguar","F-Type S Convertible",31407,19,27,6,3,"Rear-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29316","Jaguar","F-Type S AWD Coupe",30612,18,26,6,3,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29317","Jaguar","F-Type S AWD Coupe",43786,18,26,6,3,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29318","Jaguar","F-Type S AWD Convertible",20484,18,26,6,3,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29319","Jaguar","F-Type S AWD Convertible",55369,18,26,6,3,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29320","Jaguar","F-Type Coupe",24850,16,24,6,3,"Rear-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29321","Jaguar","F-Type Coupe",42377,16,24,6,3,"Rear-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29322","Jaguar","F-Type Convertible",31324,16,24,6,3,"Rear-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29323","Jaguar","F-Type Convertible",33989,16,24,6,3,"Rear-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29324","Jaguar","F-Type S Coupe",63169,15,24,6,3,"Rear-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29325","Jaguar","F-Type S Coupe",17322,15,24,6,3,"Rear-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29326","Jaguar","F-Type S Convertible",68828,15,24,6,3,"Rear-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29327","Jaguar","F-Type S Convertible",56551,15,24,6,3,"Rear-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29332","MINI","John Cooper Works Convertible",54166,22,31,4,2,"Front-Wheel Drive",1900,"Premium Gasoline","Kinda Green",5
"29333","MINI","John Cooper Works Convertible",61149,22,31,4,2,"Front-Wheel Drive",1900,"Premium Gasoline","Kinda Green",5
"29334","BMW","640i Coupe",17388,21,30,6,3,"Rear-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"29335","BMW","640i Coupe",53253,21,30,6,3,"Rear-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"29336","BMW","640i Convertible",44991,20,29,6,3,"Rear-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29337","BMW","640i Convertible",31094,20,29,6,3,"Rear-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29338","BMW","640i xDrive Coupe",28170,19,28,6,3,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29339","BMW","640i xDrive Coupe",37028,19,28,6,3,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29340","BMW","640i xDrive Convertible",42836,19,28,6,3,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29341","BMW","640i xDrive Convertible",69081,19,28,6,3,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29342","BMW","M6 Coupe",20661,15,22,8,4.4,"Rear-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29343","BMW","M6 Coupe",58595,14,20,8,4.4,"Rear-Wheel Drive",3000,"Premium Gasoline","It's a monster!",2
"29344","BMW","M6 Convertible",24564,15,22,8,4.4,"Rear-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29345","BMW","M6 Convertible",40267,14,20,8,4.4,"Rear-Wheel Drive",3000,"Premium Gasoline","It's a monster!",2
"29346","BMW","640i Gran Coupe",62687,20,29,6,3,"Rear-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29347","BMW","640i Gran Coupe",50422,20,29,6,3,"Rear-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29348","BMW","640i xDrive Gran Coupe",23734,19,28,6,3,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29349","BMW","640i xDrive Gran Coupe",53728,19,28,6,3,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29350","BMW","M6 Gran Coupe",38721,15,22,8,4.4,"Rear-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29351","BMW","M6 Gran Coupe",32693,14,20,8,4.4,"Rear-Wheel Drive",3000,"Premium Gasoline","It's a monster!",2
"29352","Mitsubishi","Mirage G4",36045,33,40,3,1.2,"Front-Wheel Drive",1150,"Regular Gasoline","Green Car",8
"29353","Mitsubishi","Mirage G4",40711,33,40,3,1.2,"Front-Wheel Drive",1150,"Regular Gasoline","Green Car",8
"29354","Mitsubishi","Mirage G4",54951,35,42,3,1.2,"Front-Wheel Drive",1100,"Regular Gasoline","Green Car",8
"29355","Mitsubishi","Mirage G4",62765,35,42,3,1.2,"Front-Wheel Drive",1100,"Regular Gasoline","Green Car",8
"29356","Hyundai","Elantra GT",29879,24,32,4,2,"Front-Wheel Drive",1500,"Regular Gasoline","Kinda Green",6
"29357","Hyundai","Elantra GT",65085,24,32,4,2,"Front-Wheel Drive",1500,"Regular Gasoline","Kinda Green",6
"29358","MINI","Cooper S Clubman All4",39190,22,31,4,2,"All-Wheel Drive",1850,"Premium Gasoline","Kinda Green",6
"29359","MINI","Cooper S Clubman All4",67420,22,31,4,2,"All-Wheel Drive",1850,"Premium Gasoline","Kinda Green",6
"29360","MINI","Cooper S Clubman All4",22044,21,30,4,2,"All-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"29361","MINI","Cooper S Clubman All4",24699,21,30,4,2,"All-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"29362","BMW","X3 sDrive28i",45881,21,28,4,2,"Rear-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"29363","BMW","X3 sDrive28i",20259,21,28,4,2,"Rear-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"29364","BMW","X3 xDrive28i",42901,21,28,4,2,"All-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"29365","BMW","X3 xDrive28i",24361,21,28,4,2,"All-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"29366","BMW","X3 xDrive35i",28965,19,26,6,3,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29367","BMW","X3 xDrive35i",36629,19,26,6,3,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29368","BMW","X4 M40i",29042,19,26,6,3,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29369","BMW","X4 M40i",46804,19,26,6,3,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29380","MINI","John Cooper Works Convertible",59021,24,32,4,2,"Front-Wheel Drive",1750,"Premium Gasoline","Kinda Green",6
"29381","MINI","John Cooper Works Convertible",32593,24,32,4,2,"Front-Wheel Drive",1750,"Premium Gasoline","Kinda Green",6
"29382","Hyundai","Elantra GT",63936,24,32,4,2,"Front-Wheel Drive",1500,"Regular Gasoline","Kinda Green",6
"29383","Hyundai","Elantra GT",60410,24,32,4,2,"Front-Wheel Drive",1500,"Regular Gasoline","Kinda Green",6
"29384","Kia","Sedona",40064,18,24,6,3.3,"Front-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29385","Kia","Sedona",69573,18,24,6,3.3,"Front-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29386","Kia","Sedona SX",24094,18,25,6,3.3,"Front-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29387","Kia","Sedona SX",17102,18,25,6,3.3,"Front-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29388","Kia","Sedona SXL",41642,17,22,6,3.3,"Front-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29389","Kia","Sedona SXL",41309,17,22,6,3.3,"Front-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29390","Ford","Escape FWD",33354,21,29,4,2.5,"Front-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29391","Ford","Escape FWD",48742,23,30,4,1.5,"Front-Wheel Drive",1550,"Regular Gasoline","Kinda Green",6
"29392","Ford","Escape FWD",52038,23,30,4,1.5,"Front-Wheel Drive",1550,"Regular Gasoline","Kinda Green",6
"29393","Ford","Escape FWD",38365,22,29,4,2,"Front-Wheel Drive",1600,"Regular Gasoline","Kinda Green",5
"29394","Ford","Escape FWD",47808,22,29,4,2,"Front-Wheel Drive",1600,"Regular Gasoline","Kinda Green",5
"29395","Ford","Escape FWD FFV",35014,21,29,4,2.5,"Front-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29396","Lincoln","MKC FWD",19183,21,28,4,2,"Front-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29397","Lincoln","MKC FWD",56642,21,28,4,2,"Front-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29398","Ford","Escape AWD",38862,20,27,4,2,"All-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29399","Ford","Escape AWD",19865,20,27,4,2,"All-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29400","Ford","Escape AWD",63038,22,28,4,1.5,"All-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29401","Ford","Escape AWD",45577,22,28,4,1.5,"All-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29402","Lincoln","MKC AWD",53575,18,25,4,2.3,"All-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29403","Lincoln","MKC AWD",64251,18,25,4,2.3,"All-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29404","Lincoln","MKC AWD",28365,19,25,4,2,"All-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29405","Lincoln","MKC AWD",39119,19,25,4,2,"All-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29406","Lincoln","MKC AWD",59335,19,25,4,2,"All-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29407","Lincoln","MKC AWD",18990,19,25,4,2,"All-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29408","Subaru","Forester AWD",22985,23,27,4,2,"All-Wheel Drive",1900,"Premium Gasoline","It's a monster!",5
"29409","Subaru","Forester AWD",51642,23,27,4,2,"All-Wheel Drive",1900,"Premium Gasoline","It's a monster!",5
"29410","Mercedes-Benz","GLS450 4matic",68277,17,22,6,3,"4-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29411","Mercedes-Benz","GLS450 4matic",68716,17,22,6,3,"4-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29412","Mercedes-Benz","AMG GLS63",27080,13,17,8,5.5,"4-Wheel Drive",3400,"Premium Gasoline","It's a monster!",1
"29413","Mercedes-Benz","AMG GLS63",53153,13,17,8,5.5,"4-Wheel Drive",3400,"Premium Gasoline","It's a monster!",1
"29422","BMW","650i xDrive Coupe",29547,16,24,8,4.4,"All-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29423","BMW","650i xDrive Coupe",69205,16,24,8,4.4,"All-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29424","BMW","650i xDrive Convertible",58438,15,24,8,4.4,"All-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29425","BMW","650i xDrive Convertible",32158,15,24,8,4.4,"All-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29426","Maserati","GranTurismo",39816,13,21,8,4.7,"Rear-Wheel Drive",3000,"Premium Gasoline","It's a monster!",2
"29427","Maserati","GranTurismo Convertible",68249,13,20,8,4.7,"Rear-Wheel Drive",3200,"Premium Gasoline","It's a monster!",2
"29428","Acura","ILX",57204,25,35,4,2.4,"Front-Wheel Drive",1650,"Premium Gasoline","Kinda Green",7
"29429","Acura","ILX",17739,25,35,4,2.4,"Front-Wheel Drive",1650,"Premium Gasoline","Kinda Green",7
"29430","BMW","650i xDrive Gran Coupe",44652,15,24,8,4.4,"All-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29431","BMW","650i xDrive Gran Coupe",49835,15,24,8,4.4,"All-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29432","BMW","Alpina B6 xDrive Gran Coupe",37085,15,24,8,4.4,"All-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29433","BMW","Alpina B6 xDrive Gran Coupe",58333,15,24,8,4.4,"All-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29434","Ford","Fusion AWD",52937,20,29,4,2,"All-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29435","Ford","Fusion AWD",65734,20,29,4,2,"All-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29436","Ford","Fusion FWD",29755,23,34,4,1.5,"Front-Wheel Drive",1500,"Regular Gasoline","Kinda Green",6
"29437","Ford","Fusion FWD",24253,23,34,4,1.5,"Front-Wheel Drive",1500,"Regular Gasoline","Kinda Green",6
"29438","Ford","Fusion Hybrid FWD",61009,43,41,4,2,"Front-Wheel Drive",950,"Regular Gasoline","Nature Lover",9
"29439","Ford","Fusion Hybrid FWD",45443,43,41,4,2,"Front-Wheel Drive",950,"Regular Gasoline","Nature Lover",9
"29440","Hyundai","Elantra",67691,32,40,4,1.4,"Front-Wheel Drive",1150,"Regular Gasoline","Green Car",8
"29441","Hyundai","Elantra",18643,32,40,4,1.4,"Front-Wheel Drive",1150,"Regular Gasoline","Green Car",8
"29442","Lincoln","MKZ Hybrid FWD",62295,41,38,4,2,"Front-Wheel Drive",1000,"Regular Gasoline","Nature Lover",9
"29443","Lincoln","MKZ Hybrid FWD",32667,41,38,4,2,"Front-Wheel Drive",1000,"Regular Gasoline","Nature Lover",9
"29444","Lincoln","MKZ AWD",51377,20,28,4,2,"All-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29445","Lincoln","MKZ AWD",37210,20,28,4,2,"All-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29446","Lincoln","MKZ FWD",59109,21,31,4,2,"Front-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29447","Lincoln","MKZ FWD",53949,21,31,4,2,"Front-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29448","BMW","550i xDrive Gran Turismo",22479,15,24,8,4.4,"All-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29449","BMW","550i xDrive Gran Turismo",21350,15,24,8,4.4,"All-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29450","Genesis","G80 RWD",62116,18,28,6,3.8,"Rear-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29451","Genesis","G80 RWD",52390,18,28,6,3.8,"Rear-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29452","Genesis","G80 AWD",49838,16,25,6,3.8,"All-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29453","Genesis","G80 AWD",48590,16,25,6,3.8,"All-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29454","Kia","Sorento FWD",45403,20,27,4,2,"Front-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29455","Kia","Sorento FWD",49576,20,27,4,2,"Front-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29456","Kia","Sorento FWD",45027,21,28,4,2.4,"Front-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29457","Kia","Sorento FWD",19044,21,28,4,2.4,"Front-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29458","Kia","Sorento FWD",26023,18,25,6,3.3,"Front-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29459","Kia","Sorento FWD",35168,18,25,6,3.3,"Front-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29460","Jaguar","F-Pace",47534,18,23,6,3,"All-Wheel Drive",2400,"Premium Gasoline","It's a monster!",4
"29461","Jaguar","F-Pace",28876,18,23,6,3,"All-Wheel Drive",2400,"Premium Gasoline","It's a monster!",4
